#Label	Sepal length	Sepal width	Petal length	Petal width	Id
0	5.1	3.5	1.4	0.2	0
0	4.9	3.0	1.4	0.2	1
0	4.7	3.2	1.3	0.2	2
0	4.6	3.1	1.5	0.2	3
0	5.0	3.6	1.4	0.2	4
0	5.4	3.9	1.7	0.4	5
0	4.6	3.4	1.4	0.3	6
0	5.0	3.4	1.5	0.2	7
0	4.4	2.9	1.4	0.2	8
0	4.9	3.1	1.5	0.1	9
0	5.4	3.7	1.5	0.2	10
0	4.8	3.4	1.6	0.2	11
0	4.8	3.0	1.4	0.1	12
0	4.3	3.0	1.1	0.1	13
0	5.8	4.0	1.2	0.2	14
0	5.7	4.4	1.5	0.4	15
0	5.4	3.9	1.3	0.4	16
0	5.1	3.5	1.4	0.3	17
0	5.7	3.8	1.7	0.3	18
0	5.1	3.8	1.5	0.3	19
0	5.4	3.4	1.7	0.2	20
0	5.1	3.7	1.5	0.4	21
0	4.6	3.6	1.0	0.2	22
0	5.1	3.3	1.7	0.5	23
0	4.8	3.4	1.9	0.2	24
0	5.0	3.0	1.6	0.2	25
0	5.0	3.4	1.6	0.4	26
0	5.2	3.5	1.5	0.2	27
0	5.2	3.4	1.4	0.2	28
0	4.7	3.2	1.6	0.2	29
0	4.8	3.1	1.6	0.2	30
0	5.4	3.4	1.5	0.4	31
0	5.2	4.1	1.5	0.1	32
0	5.5	4.2	1.4	0.2	33
0	4.9	3.1	1.5	0.1	34
0	5.0	3.2	1.2	0.2	35
0	5.5	3.5	1.3	0.2	36
0	4.9	3.1	1.5	0.1	37
0	4.4	3.0	1.3	0.2	38
0	5.1	3.4	1.5	0.2	39
0	5.0	3.5	1.3	0.3	40
0	4.5	2.3	1.3	0.3	41
0	4.4	3.2	1.3	0.2	42
0	5.0	3.5	1.6	0.6	43
0	5.1	3.8	1.9	0.4	44
0	4.8	3.0	1.4	0.3	45
0	5.1	3.8	1.6	0.2	46
0	4.6	3.2	1.4	0.2	47
0	5.3	3.7	1.5	0.2	48
0	5.0	3.3	1.4	0.2	49
1	7.0	3.2	4.7	1.4	50
1	6.4	3.2	4.5	1.5	51
1	6.9	3.1	4.9	1.5	52
1	5.5	2.3	4.0	1.3	53
1	6.5	2.8	4.6	1.5	54
1	5.7	2.8	4.5	1.3	55
1	6.3	3.3	4.7	1.6	56
1	4.9	2.4	3.3	1.0	57
1	6.6	2.9	4.6	1.3	58
1	5.2	2.7	3.9	1.4	59
1	5.0	2.0	3.5	1.0	60
